	#	;	+	-	*	/	%	<=	>=	<	>	==	!=	while	(	)	for	,	$	IDENTIFIER	int	IDENTIFIER	void	int	char	float	void	{	}	if	else	=	continue	break	return	number	CHAR	expression_statement	operator	iteration_statement	expression_profix	assignment_expression	PPT_declaration	PPT_declaration_class	PPT_variable_declaration	PPT_function_declaration	external_declaration	type_specifier	FTYPE_specifier	compound_statement	assignment_expression_list	selection_statement	start	statement	constant_expression	arithmetic_expression	declaration_init	function_declaration_suffix	function_declaration_list	assignment_expression_profix	declaration	declaration_assign	declaration_init_list	jump_statement	return_statement	function_definition	function_declaration	expression_list	assignment_operator	statement_list	function_expression	expression	primary_expression	
I0	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s4	 	 	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I3	 	 	 	I2	 	 	 	 	 	I1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I1	acc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I2	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s65	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I40	 	s66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I41	 	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I42	 	r60	 	 	 	 	 	 	 	 	 	 	 	r60	 	 	r60	 	 	 	 	r60	 	r60	r60	r60	 	r60	r60	r60	 	 	r60	r60	r60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I43	 	s69	 	 	 	 	 	 	 	 	 	 	 	 	s76	 	 	 	 	 	 	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	s74	s75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I71	I68	I73	
I44	 	s77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I45	 	r52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I78	 	 	 	 	 	 	 	 	 	 	 	 	 	
I46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s22	s23	s24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I80	 	 	 	 	 	 	
